group6	group5	group4	labels	group3
hFMB	hFMB	hFMB	human_HBC1	human_FMB
hDB6	hDB6	hDB6	human_HBC10	human_DB6
hOFFx	hOFFx	hOFFx	human_HBC11	human_OFFx
hDB3a	hDB3a	hDB3a	human_HBC12	human_DB3a
hDB4b	hDB4b	hDB4b	human_HBC13	human_DB4b
hBB	HBC14	hBB/GB	human_HBC14	human_BB/GB
hRB	hRB	hRB	human_HBC2	human_RB
hIMB	hIMB	hIMB	human_HBC3	human_IMB
hDB2	hDB2	hDB2	human_HBC4	human_DB2
hDB5	hDB5	hDB5	human_HBC5	human_DB5
hDB1	hDB1	hDB1	human_HBC6	human_DB1
hDB4a	hDB4a	hDB4a	human_HBC7	human_DB4a
hDB3b	hDB3b	hDB3b	human_HBC8	human_DB3b
hGB	HBC9	hBB/GB	human_HBC9	human_BB/GB
aBB/GB*	aBB/GB*	aBB/GB*	macaque_BB/GB*	macaque_BB/GB*
aDB1	aDB1	aDB1	macaque_DB1	macaque_DB1
aDB2	aDB2	aDB2	macaque_DB2	macaque_DB2
aDB3a	aDB3a	aDB3a	macaque_DB3a	macaque_DB3a
aDB3b	aDB3b	aDB3b	macaque_DB3b	macaque_DB3b
aDB4	aDB4	aDB4	macaque_DB4	macaque_DB4
aDB5*	aDB5*	aDB5*	macaque_DB5*	macaque_DB5*
aDB6	aDB6	aDB6	macaque_DB6	macaque_DB6
aFMB	aFMB	aFMB	macaque_FMB	macaque_FMB
aIMB	aIMB	aIMB	macaque_IMB	macaque_IMB
aOFFx	aOFFx	aOFFx	macaque_OFFx	macaque_OFFx
aRB	aRB	aRB	macaque_RB	macaque_RB
mBC1A	mBC1A	mBC1A	mouse_BC1A	mouse_BC1A
mBC1B	mBC1B	mBC1B	mouse_BC1B	mouse_BC1B
mBC2	mBC2	mBC2	mouse_BC2	mouse_BC2
mBC3A	mBC3A	mBC3A	mouse_BC3A	mouse_BC3A
mBC3B	mBC3B	mBC3B	mouse_BC3B	mouse_BC3B
mBC4	mBC4	mBC4	mouse_BC4	mouse_BC4
mBC5A	mBC5A	mBC5A	mouse_BC5A	mouse_BC5A
mBC5B	mBC5B	mBC5B	mouse_BC5B	mouse_BC5B
mBC5C	mBC5C	mBC5C	mouse_BC5C	mouse_BC5C
mBC5D	mBC5D	mBC5D	mouse_BC5D	mouse_BC5D
mBC6	mBC6	mBC6	mouse_BC6	mouse_BC6
mBC7	mBC7	mBC7	mouse_BC7	mouse_BC7
mBC8	mBC8	mBC8	mouse_BC8	mouse_BC8
mBC9	mBC9	mBC9	mouse_BC9	mouse_BC9
mRBC	mRBC	mRBC	mouse_RBC	mouse_RBC
